,text_number,screen_number,sentence_number,w_in_sent_id,w_in_screen_id,deps,n_rights,n_lefts,dep_distance,word_length,surprisal_gpt,contains_punctuation,lex_freq_unk,lex_freq,PoS-Tag
7347,14,1,8,2,111,oa,0,0,-24,4,4.367684841156006,FALSE,FALSE,6566.550453,prf
7348,14,1,8,3,112,nk,0,0,-1,3,1.6755988597869873,FALSE,FALSE,80100.30691,art
7349,14,1,8,4,113,sb,1,1,-22,10,9.600697517,FALSE,FALSE,18.03422427,nn
7350,14,1,8,5,114,op,1,0,1,3,1.5136135816574097,FALSE,FALSE,6727.329731,appr
7351,14,1,8,6,115,nk,0,0,1,7,4.0236005783081055,FALSE,FALSE,41.03889656,nn
7352,14,1,8,7,116,cm,0,0,-1,3,5.890089035,FALSE,FALSE,3407.626353,kokom
7353,14,1,8,8,117,mo,1,1,-18,2,2.6797921657562256,FALSE,FALSE,14298.16411,appr
7354,14,1,8,9,118,nk,0,0,-2,3,1.222516417503357,FALSE,FALSE,80100.30691,art
7355,14,1,8,10,119,nk,0,0,-1,11,1.4742438793182373,FALSE,FALSE,51.83000083,adja
7356,14,1,8,11,120,nk,0,2,3,13,4.889435291290283,FALSE,FALSE,168.4556778,nn
7357,14,1,8,12,121,mo,0,0,-1,4,4.844985008239746,FALSE,FALSE,4062.311204,adv
7358,14,1,8,13,122,mo,1,1,-13,2,0.8370994925498962,FALSE,FALSE,14298.16411,appr
7359,14,1,8,14,123,nk,0,0,1,7,1.4327377080917358,FALSE,FALSE,112.2438346,nn
7360,14,1,8,15,124,mo,1,0,-11,3,3.421179771,FALSE,FALSE,5914.865856,ptkvz
7361,14,1,8,16,125,nk,0,0,-1,3,2.378539562225342,FALSE,FALSE,80100.30691,art
7362,14,1,8,17,126,nk,1,1,2,11,9.682837486,FALSE,FALSE,4.357317105,nn
7363,14,1,8,18,127,nk,0,0,-1,8,1.1234956979751587,FALSE,FALSE,3.139230334,adja
7364,14,1,8,19,128,ag,1,1,2,13,0.002984595,FALSE,FALSE,0.874733453,nn
7365,14,1,8,20,129,cm,0,0,-1,3,0.780975878,FALSE,FALSE,3407.626353,kokom
7366,14,1,8,21,130,cc,2,1,2,6,1.4548943042755127,TRUE,FALSE,24.38626065,nn
7367,14,1,8,22,131,cj,1,0,2,3,0.6582008004188538,FALSE,FALSE,15.3364482,nn
